tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
[DIAG-LOG],Show interface status summary,show interfaces status,show interfaces status,show interface status,show ports information,show interfaces,show interfaces status,,,EXOS: show ports information detail,CLI-XRef-Guide-2018,p.71,1.0,true
[DIAG-LOG],Show OSPF neighbor state,show ip ospf neighbor,show ip ospf neighbor,show ip ospf neighbors,show ospf neighbor,show ip ospf neighbor,show ip ospf neighbor,,,All support OSPF neighbor table display,CLI-XRef-Guide-2018,p.97,1.0,true
[DIAG-LOG],Show BGP summary,show ip bgp summary,show ip bgp summary,show bgp summary,show bgp summary,show ip bgp summary,show bgp summary,,,,,CLI-XRef-Guide-2018,p.99,1.0,true
[DIAG-LOG],L2 path trace VOSS SPBM fabric,,,,,l2tracetree i-sid <id>,,,,VOSS-specific SPBM fabric path trace; no Cisco equivalent,VOSS-8.9-UG,p.610,1.0,true
[DIAG-LOG],Show IS-IS adjacency VOSS,,,,,show isis adjacency,,,,VOSS/SPBM fabric adjacency check,VOSS-8.9-UG,p.590,1.0,true
[DIAG-LOG],Show fabric attach assignments EXOS,,,,show fabric attach assignments,,,,,EXOS edge FA assignment table; verifies FA-connected devices,EXOS-22.7-UG,p.445,1.0,true
[DIAG-LOG],Tech-support capture,show tech-support,show tech-support,show tech-support,show tech-support,show tech-support,show tech-support,,,Collects full diagnostic snapshot on all platforms,CLI-XRef-Guide-2018,p.112,1.0,true
[DIAG-LOG],Show error-disabled ports,show interfaces status err-disabled,show interfaces status err-disabled,show interface status err-disabled,,,,,,Cisco-specific; EXOS/VOSS use port error status commands,NB-Session-2026,,0.9,true
[DIAG-LOG],Show NTP status,show ntp status,show ntp status,show ntp status,show ntp,show ntp,show ntp status,,,,,CLI-XRef-Guide-2018,p.110,1.0,true
[DIAG-LOG],Show version software info,show version,show version,show version,show version,show sys-info,show version,,,VOSS: show sys-info for OS version + hardware info,CLI-XRef-Guide-2018,p.15,1.0,true
[DIAG-LOG],Show VRRP status,show standby brief,show standby brief,show vrrp,show vrrp,show ip vrrp,show vrrp,,,Cisco uses HSRP (show standby); others use VRRP,CLI-XRef-Guide-2018,p.102,1.0,true
[DIAG-LOG],Show SNMP statistics,show snmp,show snmp,show snmp,show snmpv3,show snmp-server statistics,show snmp,,,,,CLI-XRef-Guide-2018,p.111,0.9,true
[DIAG-LOG],Show port error statistics,show interfaces <int>,show interfaces <int>,show interface <int>,show ports <port> rxerrors,show interfaces gigabitEthernet <s/p>,show interface <int>,,,EXOS has dedicated rxerrors keyword,CLI-XRef-Guide-2018,p.73,1.0,true
[DIAG-LOG],Show LACP status,show lacp neighbor,show lacp neighbor,show lacp neighbor,show lacp,show lacp,show lacp neighbor,,,,,CLI-XRef-Guide-2018,p.91,1.0,true
[DIAG-LOG],Capture packets on interface,debug ip packet <acl>,"monitor capture <name> interface <int> both | start",ethanalyzer local interface inband,debug packet capture,packet capture,monitor capture,no debug ip packet,,NX-OS: ethanalyzer; EXOS: debug packet capture,NB-Session-2026,,0.9,true
[DIAG-LOG],Debug OSPF events,debug ip ospf events,debug ip ospf events,debug ip ospf,,,,"no debug ip ospf events",,EXOS/VOSS use logging filters instead of debug commands,NB-Session-2026,,0.9,true
