tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
SEC-ID,Port security violation action,"switchport port-security violation restrict","switchport port-security violation restrict","","configure mac-locking ports <p> enable","","","no switchport port-security violation","","Cisco: restrict/protect/shutdown","CLI-XRef-Guide-2018","p.64",1.0,true
SEC-ID,Show port security,"show port-security","show port-security","","show mac-locking","show mac-security","","","","","CLI-XRef-Guide-2018","p.64",1.0,true
SEC-ID,SGT / TrustSec map (IOS-XE),"","cts role-based sgt-map <ip> sgt <id>","feature cts | cts role-based sgt-map <ip> sgt <id>","configure identity-policy <name> add classifier <n>","i-sid <id> vlan <id>","","no cts role-based sgt-map","","VOSS uses I-SID segmentation as equivalent","NB-Session-2026","",1.0,true
SEC-ID,Show SGT map,"","show cts role-based sgt-map all","show cts role-based sgt-map all","show policy profile <id>","show eapol auth-diag port <p>","","","","","NB-Session-2026","",1.0,true
SEC-ID,Crypto PKI trustpoint,"crypto pki trustpoint <name>","crypto pki trustpoint <name>","crypto ca trustpoint <name>","configure cert-requirements","","","no crypto pki trustpoint","","Used for device certificates / SSH host keys","CLI-XRef-Guide-2018","p.70",1.0,true
SEC-ID,Generate RSA key pair,"crypto key generate rsa modulus 2048","crypto key generate rsa modulus 2048","crypto key generate rsa","","","","crypto key zeroize rsa","","","CLI-XRef-Guide-2018","p.70",1.0,true
SEC-ID,Local user privilege level,"username <n> privilege 15","username <n> privilege 15","username <n> role network-admin","create account admin <n>","cli password WORD read-write-all","","no username <n>","delete account <n>","Cisco: privilege 15 = full access; Extreme: admin role","CLI-XRef-Guide-2018","p.15",1.0,true
SEC-ID,VOSS fail-open ISID,"","","","","fail-open-isid <id>","","","","VOSS: clients fall to this I-SID if RADIUS unreachable","VOSS-8.9-UG","p.210",1.0,true
SEC-ID,EXOS netlogin show sessions,"","","","show netlogin session","","","","","","EXOS-22.7-UG","p.310",1.0,true
SEC-ID,Control-plane policing (CoPP),"policy-map <name> | class <class> | police <bps>","policy-map <name> | class <class> | police rate <bps>","control-plane | service-policy input <name>","configure access-list <name> ports all ingress","","","no service-policy","","Protects CPU from DoS via ingress rate limiting","NB-Session-2026","",0.8,true
SEC-ID,IPv6 RA guard,"ipv6 nd raguard","ipv6 nd raguard policy <name>","ipv6 nd raguard","","","","no ipv6 nd raguard","","Prevents rogue IPv6 router advertisements","NB-Session-2026","",0.8,true
SEC-ID,Storm control broadcast,"storm-control broadcast level <pct>","storm-control broadcast level <pct>","storm-control broadcast level <pct>","configure ports <p> rate-limit flood broadcast <kbps>","storm-control broadcast <level>","","no storm-control broadcast","","Per-port broadcast storm suppression","NB-Session-2026","",0.8,true
SEC-ID,Storm control multicast,"storm-control multicast level <pct>","storm-control multicast level <pct>","storm-control multicast level <pct>","configure ports <p> rate-limit flood multicast <kbps>","storm-control multicast <level>","","no storm-control multicast","","","NB-Session-2026","",0.8,true
SEC-ID,BPDU guard (STP),"spanning-tree portfast bpduguard default","spanning-tree portfast bpduguard default","spanning-tree portfast bpduguard default","configure stpd s0 ports bpdu-guard <p> enable","spanning-tree bpduguard enable","","no spanning-tree portfast bpduguard default","configure stpd s0 ports bpdu-guard <p> disable","Shuts down port if BPDU received on edge port","NB-Session-2026","",1.0,true
SEC-ID,Root guard (STP),"spanning-tree guard root","spanning-tree guard root","spanning-tree guard root","configure stpd s0 ports root-protect <p> enable","spanning-tree guard root","","no spanning-tree guard root","","Prevents unauthorized root bridge takeover","NB-Session-2026","",1.0,true
SEC-ID,Show security sessions (EXOS),"","","","show netlogin session","","","","","EXOS combined 802.1X and MAB session view","EXOS-22.7-UG","p.315",0.8,true
SEC-ID,VOSS eapol show auth diag,"","","","","show eapol auth-diag port <p>","","","","Shows 802.1X authentication diagnostics per port","VOSS-8.9-UG","p.215",1.0,true
SEC-ID,VOSS eapol show port status,"","","","","show eapol port <p>","","","","","VOSS-8.9-UG","p.215",1.0,true
SEC-ID,NX-OS feature TrustSec,"","","feature cts","","","","no feature cts","","Enables Cisco TrustSec engine on NX-OS","NB-Session-2026","",0.8,true
SEC-ID,IP Source Guard per port,"ip verify source","ip verify source","ip verify source","","","","no ip verify source","","Validates source IP against DHCP snooping binding","NB-Session-2026","",0.8,true
SEC-ID,Show DHCP snooping bindings,"show ip dhcp snooping binding","show ip dhcp snooping binding","show ip dhcp snooping binding","show dhcp snooping","show ip dhcp snooping","","","","","CLI-XRef-Guide-2018","p.63",1.0,true
SEC-ID,EXOS configure RADIUS mgmt access,"","","","configure radius mgmt-access primary server <ip>","","","","configure radius mgmt-access primary server <ip> delete","Associates RADIUS server with management authentication","EXOS-22.7-UG","p.200",1.0,true
SEC-ID,VOSS radius-server deadtime,"","","","","radius-server deadtime <min>","","","","Sets time to skip dead RADIUS server","VOSS-8.9-UG","p.180",0.8,true
SEC-ID,Configure login-block for failed attempts,"login block-for <sec> attempts <n> within <sec>","login block-for <sec> attempts <n> within <sec>","","","","","no login block-for","","Cisco IOS/IOS-XE: blocks login after N failures","NB-Session-2026","",0.8,true
SEC-ID,Configure exec-timeout on vty,"line vty 0 4 | exec-timeout 10 0","line vty 0 4 | exec-timeout 10 0","line vty 0 4 | exec-timeout 10 0","configure idletimeout 10","cli timeout 10","","no exec-timeout","","Security best practice — auto-logout idle sessions","CLI-XRef-Guide-2018","p.22",1.0,true
SEC-ID,NX-OS password strength check,"password strength-check","password strength-check","password strength-check","","","","no password strength-check","","Enforces minimum complexity on NX-OS","NB-Session-2026","",0.8,true
