tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
L2-SEG,Private VLAN primary,"private-vlan primary","private-vlan primary","feature private-vlan | vlan <id> | private-vlan primary","create private-vlan <name>","vlan create <id> type pvlan-mstprstp 0 secondary <id>","","no private-vlan primary","","","CLI-XRef-Guide-2018","p.106",1.0,true
L2-SEG,Private VLAN isolated,"private-vlan isolated","private-vlan isolated","vlan <id> | private-vlan isolated","","","","no private-vlan isolated","","Isolated secondary PVLAN","CLI-XRef-Guide-2018","p.106",0.8,true
L2-SEG,Private VLAN community,"private-vlan community","private-vlan community","vlan <id> | private-vlan community","","","","no private-vlan community","","Community secondary PVLAN","CLI-XRef-Guide-2018","p.106",0.8,true
L2-SEG,Enable STP globally / per VLAN,"spanning-tree vlan <id>","spanning-tree mode rapid-pvst","spanning-tree mode rapid-pvst","enable stpd s0","spanning-tree mode rstp","spanning-tree mode rapid-pvst","no spanning-tree vlan <id>","disable stpd s0","IOS-XE and NX-OS use mode to select STP variant","CLI-XRef-Guide-2018","p.108",1.0,true
L2-SEG,Enable RSTP (802.1w),"spanning-tree mode rapid-pvst","spanning-tree mode rapid-pvst","spanning-tree mode rapid-pvst","create stpd <name> | configure stpd <name> mode dot1w | enable stpd <name>","spanning-tree rstp","spanning-tree mode rapid-pvst","no spanning-tree","disable stpd <name>","EXOS: create instance then set mode dot1w","CLI-XRef-Guide-2018","p.108",1.0,true
L2-SEG,Enable MSTP (802.1s),"spanning-tree mode mst","spanning-tree mode mst","spanning-tree mode mst","configure mstp region <name> | configure mstp revision <n>","spanning-tree mode mstp","spanning-tree mode mst","no spanning-tree mode","","","CLI-XRef-Guide-2018","p.109",1.0,true
L2-SEG,STP PVST+ mode,"spanning-tree mode pvst","spanning-tree mode rapid-pvst","spanning-tree mode rapid-pvst","(use STPD instances per VLAN)","","spanning-tree mode pvst","no spanning-tree mode","","EXOS approximates PVST using per-VLAN STPD instances","CLI-XRef-Guide-2018","p.108",0.8,true
L2-SEG,Set STP bridge priority,"spanning-tree vlan <id> priority <n>","spanning-tree vlan <id> priority <n>","spanning-tree vlan <id> priority <n>","configure stpd <name> priority <n>","spanning-tree priority <n>","spanning-tree vlan <id> priority <n>","no spanning-tree vlan <id> priority","","Lower value = root; multiples of 4096","CLI-XRef-Guide-2018","p.110",1.0,true
L2-SEG,STP root primary shortcut,"spanning-tree vlan <id> root primary","spanning-tree vlan <id> root primary","spanning-tree vlan <id> root primary","configure stpd <name> priority 4096","spanning-tree priority 4096","","no spanning-tree vlan <id> root","","Cisco macro sets priority to 24576 or lower","CLI-XRef-Guide-2018","p.110",1.0,true
L2-SEG,Set STP port priority,"spanning-tree port-priority <n>","spanning-tree port-priority <n>","spanning-tree port-priority <n>","configure stpd <n> ports priority <n> <p>","spanning-tree port-priority <p> <n>","spanning-tree port-priority <n>","no spanning-tree port-priority","","Lower = preferred; default 128","CLI-XRef-Guide-2018","p.110",1.0,true
L2-SEG,Set STP path cost,"spanning-tree cost <n>","spanning-tree cost <n>","spanning-tree cost <n>","configure stpd <name> ports cost <n> <p>","spanning-tree cost <n>","spanning-tree cost <n>","no spanning-tree cost","","Lower = preferred path","CLI-XRef-Guide-2018","p.110",1.0,true
L2-SEG,STP PortFast on edge port,"spanning-tree portfast","spanning-tree portfast","spanning-tree port type edge","configure stpd <name> ports edge-safeguard enable <p>","spanning-tree portfast","spanning-tree portfast","no spanning-tree portfast","","Immediately transitions to forwarding","CLI-XRef-Guide-2018","p.111",1.0,true
L2-SEG,BPDU guard on edge port,"spanning-tree portfast bpduguard default","spanning-tree portfast bpduguard default","spanning-tree portfast bpduguard default","configure stpd s0 ports bpdu-guard <p> enable","spanning-tree bpduguard enable","spanning-tree portfast bpduguard default","no spanning-tree portfast bpduguard default","configure stpd s0 ports bpdu-guard <p> disable","Shuts port if BPDU received","NB-Session-2026","",1.0,true
L2-SEG,Root guard,"spanning-tree guard root","spanning-tree guard root","spanning-tree guard root","configure stpd s0 ports root-protect <p> enable","spanning-tree guard root","spanning-tree guard root","no spanning-tree guard root","configure stpd s0 ports root-protect <p> disable","Prevents unauthorized root election","NB-Session-2026","",1.0,true
L2-SEG,Show STP status,"show spanning-tree","show spanning-tree","show spanning-tree","show stpd s0","show spanning-tree","show spanning-tree","","","","CLI-XRef-Guide-2018","p.112",1.0,true
L2-SEG,Show STP for specific VLAN,"show spanning-tree vlan <id>","show spanning-tree vlan <id>","show spanning-tree vlan <id>","show stpd <name>","show spanning-tree rstp","show spanning-tree vlan <id>","","","","CLI-XRef-Guide-2018","p.112",1.0,true
L2-SEG,Show STP port detail,"show spanning-tree interface <p> detail","show spanning-tree interface <p> detail","show spanning-tree interface <p> detail","show stpd <name> ports <p>","show spanning-tree port <p>","","","","","CLI-XRef-Guide-2018","p.112",1.0,true
L2-SEG,EAPS ring protection (EXOS),"","","","create eaps <name> | configure eaps <name> mode master | enable eaps | enable eaps <name>","","","","disable eaps <name>","EXOS Ethernet Automatic Protection Switching — L2 ring","EXOS-22.7-UG","p.220",1.0,true
L2-SEG,Show EAPS status (EXOS),"","","","show eaps","","","","","","EXOS-22.7-UG","p.220",1.0,true
L2-SEG,ERPS ring protection (EXOS),"","","","configure erps <name>","","","","","EXOS Ethernet Ring Protection Switching (G.8032)","EXOS-22.7-UG","p.230",0.8,true
L2-SEG,ELRP loop detect (EXOS),"","","","configure elrp-client periodic <vlan> <ports> tx-interval <n>","","","","","EXOS Extreme Loop Recovery Protocol","EXOS-22.7-UG","p.240",1.0,true
L2-SEG,Enable LLDP globally,"lldp run","lldp run","feature lldp","enable lldp","lldp tx-enable","lldp enable","no lldp run","disable lldp","","CLI-XRef-Guide-2018","p.113",1.0,true
L2-SEG,Show LLDP neighbors,"show lldp neighbors","show lldp neighbors detail","show lldp neighbors","show lldp neighbors","show lldp neighbor","show lldp neighbors","","","","CLI-XRef-Guide-2018","p.113",1.0,true
L2-SEG,Show LLDP neighbor detail,"show lldp neighbors detail","show lldp neighbors detail","show lldp neighbors detail","show lldp neighbors detail","show lldp neighbor detail","show lldp neighbors detail","","","","CLI-XRef-Guide-2018","p.113",1.0,true
L2-SEG,Enable CDP globally,"cdp run","cdp run","feature cdp","enable cdp ports all","(not supported — use LLDP)","cdp enable","no cdp run","disable cdp ports all","VOSS does not support CDP","CLI-XRef-Guide-2018","p.114",1.0,true
L2-SEG,Show CDP neighbors,"show cdp neighbors","show cdp neighbors detail","show cdp neighbors","show cdp neighbor-info ports all","","show cdp neighbors","","","","CLI-XRef-Guide-2018","p.114",1.0,true
L2-SEG,L2 QoS 802.1p trust,"mls qos trust cos","mls qos trust cos","priority-flow-control mode on","configure vlan <name> qosprofile qp<n>","qos 802.1p-override","","no mls qos trust","","Honors CoS markings on ingress","CLI-XRef-Guide-2018","p.115",1.0,true
L2-SEG,Configure voice VLAN,"switchport voice vlan <id>","switchport voice vlan <id>","switchport voice vlan <id>","configure voice vlan <id>","voice vlan <id>","","no switchport voice vlan","","Cisco CDP/LLDP-MED auto-assigns IP phone to voice VLAN","CLI-XRef-Guide-2018","p.116",0.8,true
L2-SEG,Show voice VLAN status,"show interfaces <p> switchport","show interfaces <p> switchport","show interface <p> switchport","show voice vlan","","","","","","CLI-XRef-Guide-2018","p.116",0.8,true
L2-SEG,IGMP snooping enable,"ip igmp snooping","ip igmp snooping","ip igmp snooping","enable igmp snooping","ip igmp snooping","","no ip igmp snooping","disable igmp snooping","Prevents multicast flooding at L2","CLI-XRef-Guide-2018","p.117",1.0,true
L2-SEG,IGMP snooping per-VLAN,"ip igmp snooping vlan <id>","ip igmp snooping vlan <id>","ip igmp snooping vlan <id>","enable igmp snooping vlan <name>","ip igmp snooping vlan <id>","","no ip igmp snooping vlan <id>","disable igmp snooping vlan <name>","","CLI-XRef-Guide-2018","p.117",1.0,true
L2-SEG,Show IGMP snooping groups,"show ip igmp snooping groups","show ip igmp snooping groups","show ip igmp snooping groups","show igmp snooping","show ip igmp snooping","","","","","CLI-XRef-Guide-2018","p.117",1.0,true
L2-SEG,MLD snooping (IPv6),"ipv6 mld snooping","ipv6 mld snooping","ipv6 mld snooping","enable mld snooping","ipv6 mld snooping","","no ipv6 mld snooping","disable mld snooping","IPv6 equivalent of IGMP snooping","NB-Session-2026","",0.8,true
L2-SEG,Show VLAN port membership (VOSS),"","","","","show vlan members","","","","Detailed per-VLAN port assignment","VOSS-8.9-UG","p.105",1.0,true
L2-SEG,Configure VLAN on EXOS port range,"","","","configure vlan <name> add ports <p1>-<p2> tagged","","","","configure vlan <name> delete ports <p1>-<p2>","EXOS supports port ranges","EXOS-22.7-UG","p.100",1.0,true
L2-SEG,Show FDB (EXOS forwarding DB),"","","","show fdb","","","","clear fdb","EXOS equivalent of MAC address table","EXOS-22.7-UG","p.105",1.0,true
L2-SEG,VOSS VLAN type mstprstp detail,"","","","","vlan create <id> type port-mstprstp 0","","","vlan delete <id>","VOSS VLAN types: port (L2) or spbm-bvlan (fabric)","VOSS-8.9-UG","p.100",1.0,true
L2-SEG,Show MAC aging timer,"show mac address-table aging-time","show mac address-table aging-time","show mac address-table aging-time","show fdb aging","","","","","","CLI-XRef-Guide-2018","p.104",0.8,true
L2-SEG,Set MAC aging time,"mac address-table aging-time <sec>","mac address-table aging-time <sec>","mac address-table aging-time <sec>","configure fdb aging-time <sec>","mac-address-table aging-time <sec>","","no mac address-table aging-time","","Default: 300 seconds","CLI-XRef-Guide-2018","p.104",0.8,true
L2-SEG,NX-OS VLAN feature interface-vlan,"","","feature interface-vlan","","","","no feature interface-vlan","","Required on NX-OS to use SVI (VLAN interfaces)","NB-Session-2026","",1.0,true
L2-SEG,LLDP-MED enable on port (IOS),"lldp transmit | lldp receive","lldp transmit | lldp receive","","","lldp tx-tlv port <p>","","no lldp transmit","","Per-port LLDP transmit/receive control","CLI-XRef-Guide-2018","p.113",0.8,true
