tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
MGMT-OPS,Show syslog configuration,"show logging","show logging","show logging","show log configuration","show log file","show logging","","","","CLI-XRef-Guide-2018","p.215",1.0,true
MGMT-OPS,Configure SNMP v2c community RO,"snmp-server community <string> ro","snmp-server community <string> ro","snmp-server community <string> ro","configure snmp add community readonly <string>","snmp-server community <string> ro","snmp-server community <string> ro","no snmp-server community <string>","configure snmp delete community readonly <string>","","CLI-XRef-Guide-2018","p.216",1.0,true
MGMT-OPS,Configure SNMP v2c community RW,"snmp-server community <string> rw","snmp-server community <string> rw","snmp-server community <string> rw","configure snmp add community readwrite <string>","snmp-server community <string> rw","snmp-server community <string> rw","no snmp-server community <string>","configure snmp delete community readwrite <string>","Avoid RW community — security risk","CLI-XRef-Guide-2018","p.216",1.0,true
MGMT-OPS,Configure SNMPv3 user,"snmp-server user <name> <group> v3 auth sha <key>","snmp-server user <name> <group> v3 auth sha <key>","snmp-server user <name> auth sha <key> priv aes-128 <priv>","configure snmpv3 add user <name> authentication sha <authkey> privacy aes <privkey>","snmp-server user <name> auth sha <key>","","no snmp-server user <name>","configure snmpv3 delete user <name>","Use SNMPv3 AuthPriv for compliance","CLI-XRef-Guide-2018","p.217",1.0,true
MGMT-OPS,Configure SNMPv3 group,"snmp-server group <name> v3 priv","snmp-server group <name> v3 priv","snmp-server group <name> v3 priv","configure snmpv3 add group <name>","snmp-server group <name> v3 priv","","no snmp-server group","","","CLI-XRef-Guide-2018","p.217",0.8,true
MGMT-OPS,Configure SNMP trap destination,"snmp-server host <ip> version 2c <community>","snmp-server host <ip> version 2c <community>","snmp-server host <ip> version 2c <community>","configure snmp add trapreceiver <ip> community <string>","snmp-server host <ip> version 2c <community>","snmp-server host <ip> version 2c <community>","no snmp-server host <ip>","configure snmp delete trapreceiver <ip>","","CLI-XRef-Guide-2018","p.218",1.0,true
MGMT-OPS,Configure SNMPv3 trap destination,"snmp-server host <ip> version 3 priv <user>","snmp-server host <ip> version 3 priv <user>","snmp-server host <ip> version 3 auth <user>","configure snmpv3 add targetparams <name>","snmp-server host <ip> version 3 auth <user>","","","","","CLI-XRef-Guide-2018","p.218",0.8,true
MGMT-OPS,Set SNMP system contact,"snmp-server contact <string>","snmp-server contact <string>","snmp-server contact <string>","configure snmp sysContact <string>","snmp-server contact <string>","snmp-server contact <string>","no snmp-server contact","","","CLI-XRef-Guide-2018","p.219",1.0,true
MGMT-OPS,Set SNMP system location,"snmp-server location <string>","snmp-server location <string>","snmp-server location <string>","configure snmp sysLocation <string>","snmp-server location <string>","snmp-server location <string>","no snmp-server location","","","CLI-XRef-Guide-2018","p.219",1.0,true
MGMT-OPS,Show SNMP status,"show snmp","show snmp","show snmp","show snmp","show snmp","show snmp","","","","CLI-XRef-Guide-2018","p.220",1.0,true
MGMT-OPS,Disable terminal paging,"terminal length 0","terminal length 0","terminal length 0","disable clipaging","terminal length 0","terminal length 0","terminal length 24","enable clipaging","Prevents --more-- prompts","CLI-XRef-Guide-2018","p.221",1.0,true
MGMT-OPS,Set terminal width,"terminal width 256","terminal width 256","terminal width 256","","","terminal width 256","","","Prevents line wrapping in output","CLI-XRef-Guide-2018","p.221",0.8,true
MGMT-OPS,Configure MOTD banner,"banner motd # <text> #","banner motd # <text> #","banner motd # <text> #","configure banner","banner <custom|static>","banner motd # <text> #","no banner motd","","Legal warning on login","CLI-XRef-Guide-2018","p.222",1.0,true
MGMT-OPS,Configure login banner,"banner login # <text> #","banner login # <text> #","banner login # <text> #","configure banner","banner <custom|static>","banner login # <text> #","no banner login","","Displayed at login prompt","CLI-XRef-Guide-2018","p.222",1.0,true
MGMT-OPS,Disable HTTP web server,"no ip http server","no ip http server | no ip http secure-server","no feature nxapi","disable web http","no web-server enable","","ip http server","enable web http","Security hardening — disable unused services","CLI-XRef-Guide-2018","p.223",1.0,true
MGMT-OPS,Enable HTTPS web server,"ip http secure-server","ip http secure-server","feature nxapi","enable web https","web-server enable","","no ip http secure-server","disable web https","","CLI-XRef-Guide-2018","p.223",1.0,true
MGMT-OPS,Disable Telnet access,"line vty 0 4 | transport input ssh","transport input ssh","no feature telnet","disable telnet","no boot config flags telnet","","","","Best practice — SSH only","CLI-XRef-Guide-2018","p.224",1.0,true
MGMT-OPS,Enable Telnet (not recommended),"line vty 0 4 | transport input telnet ssh","transport input telnet","feature telnet","enable telnet","boot config flags telnet","","","","Telnet is unencrypted","CLI-XRef-Guide-2018","p.224",1.0,true
MGMT-OPS,Set SSH idle timeout,"ip ssh time-out <n>","ip ssh time-out <n>","ssh timeout <n>","configure ssh2 timeout <n>","ip ssh timeout <n>","","no ip ssh time-out","","Disconnects idle SSH sessions","CLI-XRef-Guide-2018","p.224",1.0,true
MGMT-OPS,Firmware / image upgrade via TFTP,"copy tftp flash","install add file tftp://<ip>/<file>","copy tftp bootflash:<file>","download image <ip> <file>","copy tftp release <ip> <file>","firmware download host <ip> directory <path> file <file>","","","","CLI-XRef-Guide-2018","p.225",1.0,true
MGMT-OPS,IOS-XE install activate,"","install activate","","","","","install rollback","","Second step of install workflow (add / activate / commit)","NB-Session-2026","",1.0,true
MGMT-OPS,IOS-XE install commit,"","install commit","","","","","","","Commits activated image as new default","NB-Session-2026","",1.0,true
MGMT-OPS,NX-OS install all (in-service upgrade),"","","install all nxos <file>","","","","","","Non-disruptive upgrade on supported NX-OS platforms","NB-Session-2026","",1.0,true
MGMT-OPS,Show installed images / boot file,"show boot","show version","show version","show version images","show software detail","show version","","","","CLI-XRef-Guide-2018","p.225",1.0,true
MGMT-OPS,EXOS install image and select partition,"","","","use image partition primary | reboot","","","","","Select primary/secondary then reboot","EXOS-22.7-UG","p.66",1.0,true
MGMT-OPS,Config diff — running vs startup,"","show archive config differences","show diff rollback-patch running-config startup-config","show configuration diff","","","","","Detect unsaved changes","NB-Session-2026","",0.8,true
MGMT-OPS,Archive config automation (IOS-XE),"archive | path tftp://<ip>/$h-<n>","archive | path tftp://<ip>/$h-<n>","","","","","no archive","","Automated scheduled config archiving","NB-Session-2026","",0.8,true
MGMT-OPS,Configure RMON event,"rmon event <id>","rmon event <id>","","enable rmon","rmon enable","","no rmon event <id>","","RMON network monitoring","CLI-XRef-Guide-2018","p.226",1.0,true
MGMT-OPS,Factory reset device,"write erase | reload","factory-reset all","write erase | reload","unconfigure switch all","boot config flags factorydefaults","bmc factory reset","","","","CLI-XRef-Guide-2018","p.12",1.0,true
MGMT-OPS,Reload in N minutes (scheduled),"reload in <mm:ss>","reload in <mm:ss>","reload in <n>","reboot time <n>","","","reload cancel","","Safety net during remote config changes","NB-Session-2026","",0.8,true
MGMT-OPS,Cancel scheduled reload,"reload cancel","reload cancel","reload cancel","","","","","","","NB-Session-2026","",0.8,true
MGMT-OPS,Configure VTY access-class (SSH restriction),"access-class <acl> in","access-class <acl> in","ip access-class <acl> in","configure ssh2 access-profile <name>","","","no access-class","","Restricts which IPs can SSH to device","CLI-XRef-Guide-2018","p.227",1.0,true
MGMT-OPS,Syslog timestamps enable,"service timestamps log datetime msec","service timestamps log datetime msec","clock format show | logging timestamp","configure log target syslog severity info format timestamp date_time","","","no service timestamps log","","Adds accurate timestamps to log messages","CLI-XRef-Guide-2018","p.228",1.0,true
MGMT-OPS,Show running config per interface,"show running-config interface <p>","show running-config interface <p>","show running-config interface <p>","show configuration | grep -A10 <vlan>","show running-config interface GigabitEthernet <p>","show running-config interface <p>","","","","CLI-XRef-Guide-2018","p.229",1.0,true
MGMT-OPS,EXOS save to named config file,"","","","save configuration <filename>","","","","","Saves to named config instead of primary.cfg","EXOS-22.7-UG","p.68",1.0,true
MGMT-OPS,EXOS use / activate named config file,"","","","use configuration <filename>","","","","","Selects named config to load at next reboot","EXOS-22.7-UG","p.68",1.0,true
MGMT-OPS,VOSS show boot config flags,"","","","","show boot config flags","","","","Shows all VOSS boot flags (telnet / sshd / factorydefaults)","VOSS-8.9-UG","p.80",1.0,true
MGMT-OPS,Verify image integrity (hash),"verify /md5 flash:<file>","verify /sha512 flash:<file>","show file bootflash:<file> md5sum","show version images","","","","","Always verify after download","NB-Session-2026","",0.8,true
MGMT-OPS,Configure AAA for management auth,"aaa new-model | aaa authentication login default group tacacs+ local","aaa new-model | aaa authentication login default group tacacs+ local","feature aaa | aaa authentication login default group tacacs+","configure tacacs primary server <ip> 49 client-ip <ip> shared-secret <key>","radius-server enable | aaa authentication login default group radius local","","no aaa new-model","","Central auth for all management access","CLI-XRef-Guide-2018","p.230",1.0,true
MGMT-OPS,Show users logged in,"show users","show users","show users","show session","show telnet-access","show users","","","Who is currently logged in","CLI-XRef-Guide-2018","p.231",1.0,true
MGMT-OPS,Disconnect a user session,"clear line <n>","clear line <n>","clear user session <n>","clear session <id>","","","","","","CLI-XRef-Guide-2018","p.231",0.8,true
MGMT-OPS,NX-OS checkpoint create,"","","checkpoint <name>","","","","no checkpoint <name>","","NX-OS config rollback point","NB-Session-2026","",0.8,true
MGMT-OPS,NX-OS rollback to checkpoint,"","","rollback running-config checkpoint <name>","","","","","","","NB-Session-2026","",0.8,true
MGMT-OPS,EXOS set timezone,"","","","configure timezone <offset>","","","","","EXOS timezone offset from UTC","EXOS-22.7-UG","p.78",0.8,true
MGMT-OPS,Configure domain name,"ip domain-name <domain>","ip domain-name <domain>","ip domain-name <domain>","configure dns-client add domain-suffix <domain>","ip domain-name <domain>","ip domain-name <domain>","no ip domain-name","","Required for SSH RSA key generation on Cisco","CLI-XRef-Guide-2018","p.20",1.0,true
MGMT-OPS,Configure DNS name server,"ip name-server <ip>","ip name-server <ip>","ip name-server <ip>","configure dns-client add name-server <ip> vr VR-Mgmt","ip name-server <ip>","ip name-server <ip>","no ip name-server","","","CLI-XRef-Guide-2018","p.20",1.0,true
MGMT-OPS,Show flash / filesystem listing,"dir flash:","dir flash:","dir bootflash:","ls","ls /intflash","dir flash:","","","EXOS/VOSS use Unix-style ls","CLI-XRef-Guide-2018","p.21",1.0,true
MGMT-OPS,Delete file from flash,"delete flash:<file>","delete flash:<file>","delete bootflash:<file>","rm <file>","delete /intflash/<file>","delete flash:<file>","","","","CLI-XRef-Guide-2018","p.21",0.8,true
MGMT-OPS,Configure exec-timeout on VTY,"line vty 0 4 | exec-timeout 10 0","line vty 0 4 | exec-timeout 10 0","line vty 0 4 | exec-timeout 10 0","configure idletimeout 10","cli timeout 10","","no exec-timeout","","Auto-logout idle management sessions","CLI-XRef-Guide-2018","p.22",1.0,true
MGMT-OPS,Enable service password encryption (Cisco),"service password-encryption","service password-encryption","","","","","no service password-encryption","","Obfuscates type-7 passwords in config — weak; use secret","CLI-XRef-Guide-2018","p.15",1.0,true
MGMT-OPS,Show SNMP community strings,"show snmp community","show snmp community","show snmp community","show snmp community","show snmp community","","","","","CLI-XRef-Guide-2018","p.220",0.8,true
MGMT-OPS,Show SNMP traps/informs sent,"show snmp","show snmp","show snmp","show snmp trap","show snmp","","","","","CLI-XRef-Guide-2018","p.220",0.8,true
MGMT-OPS,Copy running config to flash (backup),"copy running-config flash:<file>","copy running-config flash:<file>","copy running-config bootflash:<file>","save configuration <file>","save config","","","","Local backup before changes","NB-Session-2026","",0.8,true
MGMT-OPS,Erase startup config / NVRAM,"write erase","write erase","write erase","unconfigure switch all","boot config flags factorydefaults","write erase","","","Removes startup config — device boots to defaults on reload","CLI-XRef-Guide-2018","p.12",1.0,true
