tag,functional_intent,cisco_ios,cisco_iosxe,cisco_nxos,extreme_exos,extreme_voss,extreme_slxos,negation_cisco,negation_en,notes,source_ref,page_ref,confidence,is_verified
L3-VIRT,Show OSPF interface detail,"show ip ospf interface <p>","show ip ospf interface <p>","show ip ospf interface <p>","show ospf interfaces vlan <name>","show ip ospf interface vlan <id>","","","","","CLI-XRef-Guide-2018","p.157",1.0,true
L3-VIRT,Enable BGP process,"router bgp <asn>","router bgp <asn>","feature bgp | router bgp <asn>","enable bgp | configure bgp as-number <asn>","router bgp <asn>","router bgp <asn>","no router bgp <asn>","disable bgp","","CLI-XRef-Guide-2018","p.160",1.0,true
L3-VIRT,BGP neighbor (eBGP),"neighbor <ip> remote-as <asn>","neighbor <ip> remote-as <asn>","neighbor <ip> remote-as <asn>","configure bgp neighbor <ip> remote-as-number <asn>","neighbor <ip> remote-as <asn>","neighbor <ip> remote-as <asn>","no neighbor <ip>","delete bgp neighbor <ip>","","CLI-XRef-Guide-2018","p.161",1.0,true
L3-VIRT,BGP neighbor update-source (iBGP),"neighbor <ip> update-source loopback <n>","neighbor <ip> update-source loopback <n>","neighbor <ip> update-source loopback <n>","configure bgp neighbor <ip> update-source <ip>","neighbor <ip> update-source loopback <n>","","no neighbor <ip> update-source","","iBGP loopback peering","CLI-XRef-Guide-2018","p.161",1.0,true
L3-VIRT,BGP address family IPv4 unicast,"address-family ipv4 unicast","address-family ipv4","address-family ipv4 unicast","configure bgp neighbor <ip> address-family ipv4-unicast","address-family ipv4","","no address-family ipv4","","","CLI-XRef-Guide-2018","p.161",1.0,true
L3-VIRT,BGP network advertisement,"network <prefix> mask <mask>","network <prefix> mask <mask>","network <prefix>/<len>","network <prefix>/<len>","network <prefix>/<len>","network <prefix>/<len>","no network <prefix>","no network <prefix>","Injects exact prefix from routing table","CLI-XRef-Guide-2018","p.162",1.0,true
L3-VIRT,BGP redistribute connected,"redistribute connected","redistribute connected","redistribute direct","redistribute connected","redistribute connected","","no redistribute connected","","","CLI-XRef-Guide-2018","p.162",1.0,true
L3-VIRT,Show BGP summary,"show ip bgp summary","show ip bgp summary","show bgp ipv4 unicast summary","show bgp summary","show ip bgp summary","show ip bgp summary","","","","CLI-XRef-Guide-2018","p.163",1.0,true
L3-VIRT,Show BGP neighbors detail,"show ip bgp neighbors <ip>","show ip bgp neighbors <ip>","show bgp ipv4 unicast neighbors <ip>","show bgp neighbor <ip>","show ip bgp neighbors <ip>","","","","","CLI-XRef-Guide-2018","p.163",1.0,true
L3-VIRT,Enable RIP,"router rip | network <ip>","router rip | network <ip>","feature rip | router rip <tag>","enable rip | configure rip add vlan <name>","router rip | network <ip>","","no router rip","disable rip","","CLI-XRef-Guide-2018","p.165",1.0,true
L3-VIRT,RIP version 2,"router rip | version 2","router rip | version 2","router rip <tag> | address-family ipv4 unicast | version 2","configure rip <name> version 2","router rip | version 2","","no version 2","","","CLI-XRef-Guide-2018","p.165",0.8,true
L3-VIRT,VRRP configure (IOS/IOS-XE),"standby <id> ip <vip> | standby <id> priority <n>","vrrp <id> ip <vip>","feature vrrp | vrrp <id> address <vip>","create vrrp vlan <name> vrid <id> | configure vrrp vlan <name> vrid <id> add <ip>","ip vrrp address <id> <vip> | ip vrrp enable","","no standby <id>","delete vrrp vlan <name> vrid <id>","","CLI-XRef-Guide-2018","p.168",1.0,true
L3-VIRT,VRRP priority,"standby <id> priority <n>","vrrp <id> priority <n>","vrrp <id> priority <n>","configure vrrp vlan <name> vrid <id> priority <n>","ip vrrp priority <id> <n>","","no standby <id> priority","","Default 100; higher = master","CLI-XRef-Guide-2018","p.168",1.0,true
L3-VIRT,VRRP preempt,"standby <id> preempt","vrrp <id> preempt","vrrp <id> preempt","configure vrrp vlan <name> vrid <id> preempt","ip vrrp preempt <id>","","no standby <id> preempt","","Allows higher-priority router to reclaim master","CLI-XRef-Guide-2018","p.168",0.8,true
L3-VIRT,Show VRRP status,"show standby","show vrrp","show vrrp","show vrrp","show ip vrrp","show vrrp","","","","CLI-XRef-Guide-2018","p.169",1.0,true
L3-VIRT,HSRP configure (Cisco only),"standby <id> ip <vip>","standby <id> ip <vip>","feature hsrp | standby <id> ip <vip>","(not supported — use VRRP)","(not supported — use VRRP)","","no standby <id>","","HSRP is Cisco-proprietary; no EXOS/VOSS equivalent","CLI-XRef-Guide-2018","p.170",1.0,true
L3-VIRT,Show HSRP status,"show standby","show standby","show hsrp","","","","","","","CLI-XRef-Guide-2018","p.170",1.0,true
L3-VIRT,Create VRF,"ip vrf <name>","vrf definition <name>","vrf context <name>","create vr <name>","ip vrf <name>","vrf <name>","no ip vrf <name>","delete vr <name>","IOS-XE uses vrf definition; NX-OS uses vrf context","CLI-XRef-Guide-2018","p.172",1.0,true
L3-VIRT,VRF address family (IOS-XE),"","vrf definition <name> | address-family ipv4","","","","","","","Required in IOS-XE VRF definition","CLI-XRef-Guide-2018","p.172",1.0,true
L3-VIRT,Assign interface to VRF,"ip vrf forwarding <name>","vrf forwarding <name>","vrf member <name>","configure vlan <name> vr <vrname>","vrf <name>","vrf <name>","no ip vrf forwarding","configure vlan <name> vr VR-Default","Removes IP address — must re-assign after VRF change","CLI-XRef-Guide-2018","p.172",1.0,true
L3-VIRT,Show VRF list,"show ip vrf","show vrf","show vrf","show vr","show ip vrf","show vrf","","","","CLI-XRef-Guide-2018","p.173",1.0,true
L3-VIRT,Show routing table for VRF,"show ip route vrf <name>","show ip route vrf <name>","show ip route vrf <name>","show iproute vr <name>","show ip route vrf <name>","show ip route vrf <name>","","","","CLI-XRef-Guide-2018","p.173",1.0,true
L3-VIRT,BGP VPNv4 / L3VPN,"router bgp <asn> | address-family vpnv4","router bgp <asn> | address-family vpnv4","router bgp <asn> | address-family vpnv4","","","","","","Used for MPLS L3VPN inter-VRF routing","NB-Session-2026","",0.8,true
L3-VIRT,Enable PIM sparse mode on interface,"ip pim sparse-mode","ip pim sparse-mode","feature pim | ip pim sparse-mode","enable pim sparse-mode | configure pim add vlan <name>","ip pim sparse-mode","","no ip pim sparse-mode","disable pim sparse-mode","","CLI-XRef-Guide-2018","p.175",1.0,true
L3-VIRT,PIM rendezvous point (static),"ip pim rp-address <ip>","ip pim rp-address <ip>","ip pim rp-address <ip>","configure pim crp static <ip>","ip pim rp-address <ip>","","no ip pim rp-address","","","CLI-XRef-Guide-2018","p.175",1.0,true
L3-VIRT,Show PIM neighbors,"show ip pim neighbor","show ip pim neighbor","show ip pim neighbor","show pim neighbor","show ip pim neighbor","","","","","CLI-XRef-Guide-2018","p.175",0.8,true
L3-VIRT,Show IP interface brief,"show ip interface brief","show ip interface brief","show ip interface brief","show ipconfig","show ip interface","show ip interface brief","","","","CLI-XRef-Guide-2018","p.176",1.0,true
L3-VIRT,BFD enable on interface (IOS-XE),"","bfd interval 300 min_rx 300 multiplier 3","feature bfd | bfd interval 300 min_rx 300 multiplier 3","configure bfd vlan <name>","bfd enable","","no bfd","","Bidirectional Forwarding Detection for fast failure detection","VOSS-8.9-UG","p.280",1.0,true
L3-VIRT,BFD for OSPF (IOS-XE),"","ip ospf bfd","ip ospf bfd","","bfd enable","","no ip ospf bfd","","Enables BFD tracking for OSPF neighbor loss","VOSS-8.9-UG","p.281",0.8,true
L3-VIRT,BFD for BGP (IOS-XE),"","neighbor <ip> fall-over bfd","neighbor <ip> bfd","","bfd enable","","no neighbor <ip> fall-over bfd","","","VOSS-8.9-UG","p.281",0.8,true
L3-VIRT,Show BFD neighbors,"","show bfd neighbors","show bfd neighbors","show bfd vlan <name>","show bfd","","","","","VOSS-8.9-UG","p.282",0.8,true
L3-VIRT,Inter-VLAN routing (IOS SVI),"ip routing | interface vlan <id>","ip routing | interface vlan <id>","feature interface-vlan | interface vlan <id>","enable ipforwarding | configure vlan <name> ipaddress <ip>","ip routing | interface vlan <id>","","no ip routing","","","CLI-XRef-Guide-2018","p.177",1.0,true
L3-VIRT,Show multicast routing table,"show ip mroute","show ip mroute","show ip mroute","show pim mroute","show ip mroute","","","","","CLI-XRef-Guide-2018","p.178",0.8,true
L3-VIRT,DHCP relay (ip helper-address),"ip helper-address <ip>","ip helper-address <ip>","ip dhcp relay address <ip>","configure bootprelay add <ip>","ip helper-address <ip>","ip helper-address <ip>","no ip helper-address <ip>","configure bootprelay delete <ip>","Forwards DHCP broadcasts to server","CLI-XRef-Guide-2018","p.179",1.0,true
L3-VIRT,Show DHCP relay bindings,"show ip dhcp binding","show ip dhcp binding","show ip dhcp relay statistics","show bootprelay","show ip dhcp relay","","","","","CLI-XRef-Guide-2018","p.179",0.8,true
L3-VIRT,Redistribute OSPF into BGP,"router bgp <asn> | redistribute ospf <id>","router bgp <asn> | redistribute ospf <id>","router bgp <asn> | redistribute ospf <id>","configure bgp redistribute ospf","router bgp <asn> | redistribute ospf","","no redistribute ospf","","Requires route-map for production","NB-Session-2026","",0.8,true
L3-VIRT,Redistribute static into OSPF,"router ospf <id> | redistribute static subnets","router ospf <id> | redistribute static subnets","router ospf <id> | redistribute static","configure ospf add redistribute static","router ospf <id> | redistribute static","","no redistribute static","","","NB-Session-2026","",0.8,true
L3-VIRT,ECMP (equal cost multipath),"maximum-paths <n>","maximum-paths <n>","maximum-paths <n>","configure iproute ecmp <n>","maximum-paths <n>","maximum-paths <n>","no maximum-paths","","Default 4 on most platforms","NB-Session-2026","",0.8,true
